Timestep  Iteration  resNorm(0)  resNorm(1)  
113  1  0.3820705611465459  0.0003948966400140  
114  1  0.5558571015726937  0.0005468566532188  
115  1  0.8379893671227295  0.0009303386986104  
116  1  1.1528341526779158  0.0015521780883176  
116  2  0.0957737925714225  0.0011692443271819  
116  3  0.0119463620847504  0.0000509816901015  
117  1  0.3578312290938673  0.0003621198558972  
118  1  0.5628889227635377  0.0005530487539232  
119  1  0.8646910986075916  0.0009521439664181  
120  1  1.1752964617427357  0.0016162514471226  
120  2  0.0374104059891808  0.0012106981584508  
120  3  0.0030158767766480  0.0000191212519128  
121  1  0.3726942165304965  0.0003786776382995  
122  1  0.5860174453157008  0.0005680739634834  
123  1  0.8917145117692261  0.0009953056378701  
124  1  1.2004755491726866  0.0016756161498457  
124  2  0.0080520482416314  0.0012579840720421  
124  3  0.0007319878890758  0.0000042471274515  
125  1  0.3895406919344826  0.0003888179730714  
126  1  0.6094719920837540  0.0005961265331933  
127  1  0.9209415619822278  0.0010306869531571  
127  2  0.0047694765673155  0.0007701227135467  
128  1  0.2467686357360289  0.0002433035360145  
129  1  0.3976148658581857  0.0003683351638678  
130  1  0.6427847105921820  0.0006394160913082  
131  1  0.9535512553625634  0.0010829823740489  
131  2  0.0214871151437514  0.0008118361467618  
132  1  0.2596758609484656  0.0002565457358245  
133  1  0.4183432633346157  0.0003860510510551  
134  1  0.6713159768265982  0.0006728071297859  
135  1  0.9871330661532978  0.0011348790993560  
135  2  0.0740910968172867  0.0008541884796790  
136  1  0.2983602079436654  0.0002841010877614  
137  1  0.4691435933289304  0.0004340380668675  
138  1  0.7397620947201073  0.0007511436339468  
139  1  1.0575218199571697  0.0012729741492506  
139  2  0.1726189497661696  0.0009751307979045  
140  1  0.4174305595910927  0.0003986984663650  
141  1  0.6251774724345974  0.0006003104961642  
142  1  0.9301605096997398  0.0010291680942199  
142  2  0.1296210695100090  0.0007825232099383  
143  1  0.3143627184197157  0.0002946566801027  
144  1  0.4741964741389172  0.0004298709117701  
145  1  0.7373408492718425  0.0007452416184365  
146  1  1.0529255894792315  0.0012501122247484  
146  2  0.5126191674909377  0.0010706138397338  
146  3  0.0266456828131001  0.0003723097175381  
147  1  0.3046188156830069  0.0002926772852974  
148  1  0.4840405275438118  0.0004473984220332  
